Read length	Number of total reads	Extract	Number of damaged reads	Sample	Type	Dup
19	1	1	0	11A	Indels	19-1-11A-Indels
19	3	3	0	11A	Indels	19-3-11A-Indels
19	13	1	0	11A	Normal	19-1-11A-Normal
19	6	2	0	11A	Normal	19-2-11A-Normal
19	12	3	1	11A	Normal	19-3-11A-Normal
19	12	1	0	11A	SNPs	19-1-11A-SNPs
19	6	2	0	11A	SNPs	19-2-11A-SNPs
19	9	3	1	11A	SNPs	19-3-11A-SNPs
20	9	1	0	11A	Indels	20-1-11A-Indels
20	10	2	0	11A	Indels	20-2-11A-Indels
20	8	3	0	11A	Indels	20-3-11A-Indels
20	35	1	2	11A	Normal	20-1-11A-Normal
20	42	2	0	11A	Normal	20-2-11A-Normal
20	39	3	1	11A	Normal	20-3-11A-Normal
20	26	1	2	11A	SNPs	20-1-11A-SNPs
20	32	2	0	11A	SNPs	20-2-11A-SNPs
20	31	3	1	11A	SNPs	20-3-11A-SNPs
21	28	1	0	11A	Indels	21-1-11A-Indels
21	87	1	1	11B	Indels	21-1-11B-Indels
21	18266	1	310	11B_ss	Indels	21-1-11B_ss-Indels
21	33	2	0	11A	Indels	21-2-11A-Indels
21	52	2	1	11B	Indels	21-2-11B-Indels
21	25	3	0	11A	Indels	21-3-11A-Indels
21	34	3	1	11B	Indels	21-3-11B-Indels
21	62	1	3	11A	Normal	21-1-11A-Normal
21	201	1	5	11B	Normal	21-1-11B-Normal
21	47626	1	1683	11B_ss	Normal	21-1-11B_ss-Normal
21	76	2	1	11A	Normal	21-2-11A-Normal
21	164	2	5	11B	Normal	21-2-11B-Normal
21	63	3	2	11A	Normal	21-3-11A-Normal
21	90	3	5	11B	Normal	21-3-11B-Normal
21	34	1	3	11A	SNPs	21-1-11A-SNPs
21	114	1	4	11B	SNPs	21-1-11B-SNPs
21	29360	1	1373	11B_ss	SNPs	21-1-11B_ss-SNPs
21	43	2	1	11A	SNPs	21-2-11A-SNPs
21	112	2	4	11B	SNPs	21-2-11B-SNPs
21	38	3	2	11A	SNPs	21-3-11A-SNPs
21	56	3	4	11B	SNPs	21-3-11B-SNPs
22	23	1	1	11A	Indels	22-1-11A-Indels
22	82	1	3	11B	Indels	22-1-11B-Indels
22	7720	1	297	11B_ss	Indels	22-1-11B_ss-Indels
22	37	2	0	11A	Indels	22-2-11A-Indels
22	68	2	6	11B	Indels	22-2-11B-Indels
22	46	3	0	11A	Indels	22-3-11A-Indels
22	33	3	1	11B	Indels	22-3-11B-Indels
22	69	1	3	11A	Normal	22-1-11A-Normal
22	270	1	12	11B	Normal	22-1-11B-Normal
22	32065	1	1894	11B_ss	Normal	22-1-11B_ss-Normal
22	91	2	4	11A	Normal	22-2-11A-Normal
22	202	2	18	11B	Normal	22-2-11B-Normal
22	98	3	1	11A	Normal	22-3-11A-Normal
22	116	3	6	11B	Normal	22-3-11B-Normal
22	46	1	2	11A	SNPs	22-1-11A-SNPs
22	188	1	9	11B	SNPs	22-1-11B-SNPs
22	24345	1	1597	11B_ss	SNPs	22-1-11B_ss-SNPs
22	54	2	4	11A	SNPs	22-2-11A-SNPs
22	134	2	12	11B	SNPs	22-2-11B-SNPs
22	52	3	1	11A	SNPs	22-3-11A-SNPs
22	83	3	5	11B	SNPs	22-3-11B-SNPs
23	35	1	2	11A	Indels	23-1-11A-Indels
23	281	1	11	11B	Indels	23-1-11B-Indels
23	21826	1	768	11B_ss	Indels	23-1-11B_ss-Indels
23	24	2	1	11A	Indels	23-2-11A-Indels
23	175	2	7	11B	Indels	23-2-11B-Indels
23	28	3	1	11A	Indels	23-3-11A-Indels
23	107	3	5	11B	Indels	23-3-11B-Indels
23	91	1	5	11A	Normal	23-1-11A-Normal
23	648	1	28	11B	Normal	23-1-11B-Normal
23	57352	1	3339	11B_ss	Normal	23-1-11B_ss-Normal
23	81	2	4	11A	Normal	23-2-11A-Normal
23	436	2	23	11B	Normal	23-2-11B-Normal
23	107	3	7	11A	Normal	23-3-11A-Normal
23	272	3	14	11B	Normal	23-3-11B-Normal
23	56	1	3	11A	SNPs	23-1-11A-SNPs
23	367	1	17	11B	SNPs	23-1-11B-SNPs
23	35526	1	2571	11B_ss	SNPs	23-1-11B_ss-SNPs
23	57	2	3	11A	SNPs	23-2-11A-SNPs
23	261	2	16	11B	SNPs	23-2-11B-SNPs
23	79	3	6	11A	SNPs	23-3-11A-SNPs
23	165	3	9	11B	SNPs	23-3-11B-SNPs
24	42	1	0	11A	Indels	24-1-11A-Indels
24	476	1	24	11B	Indels	24-1-11B-Indels
24	32712	1	1237	11B_ss	Indels	24-1-11B_ss-Indels
24	30	2	1	11A	Indels	24-2-11A-Indels
24	296	2	7	11B	Indels	24-2-11B-Indels
24	23	3	0	11A	Indels	24-3-11A-Indels
24	235	3	11	11B	Indels	24-3-11B-Indels
24	142	1	5	11A	Normal	24-1-11A-Normal
24	872	1	57	11B	Normal	24-1-11B-Normal
24	65414	1	3795	11B_ss	Normal	24-1-11B_ss-Normal
24	113	2	5	11A	Normal	24-2-11A-Normal
24	558	2	17	11B	Normal	24-2-11B-Normal
24	132	3	11	11A	Normal	24-3-11A-Normal
24	444	3	30	11B	Normal	24-3-11B-Normal
24	100	1	5	11A	SNPs	24-1-11A-SNPs
24	396	1	33	11B	SNPs	24-1-11B-SNPs
24	32702	1	2558	11B_ss	SNPs	24-1-11B_ss-SNPs
24	83	2	4	11A	SNPs	24-2-11A-SNPs
24	262	2	10	11B	SNPs	24-2-11B-SNPs
24	109	3	11	11A	SNPs	24-3-11A-SNPs
24	209	3	19	11B	SNPs	24-3-11B-SNPs
25	33	1	1	11A	Indels	25-1-11A-Indels
25	511	1	25	11B	Indels	25-1-11B-Indels
25	29459	1	1233	11B_ss	Indels	25-1-11B_ss-Indels
25	16	2	0	11A	Indels	25-2-11A-Indels
25	308	2	9	11B	Indels	25-2-11B-Indels
25	22	3	1	11A	Indels	25-3-11A-Indels
25	272	3	14	11B	Indels	25-3-11B-Indels
25	189	1	21	11A	Normal	25-1-11A-Normal
25	845	1	48	11B	Normal	25-1-11B-Normal
25	49964	1	3085	11B_ss	Normal	25-1-11B_ss-Normal
25	163	2	7	11A	Normal	25-2-11A-Normal
25	532	2	28	11B	Normal	25-2-11B-Normal
25	220	3	19	11A	Normal	25-3-11A-Normal
25	431	3	24	11B	Normal	25-3-11B-Normal
25	156	1	20	11A	SNPs	25-1-11A-SNPs
25	334	1	23	11B	SNPs	25-1-11B-SNPs
25	20505	1	1852	11B_ss	SNPs	25-1-11B_ss-SNPs
25	147	2	7	11A	SNPs	25-2-11A-SNPs
25	224	2	19	11B	SNPs	25-2-11B-SNPs
25	198	3	18	11A	SNPs	25-3-11A-SNPs
25	159	3	10	11B	SNPs	25-3-11B-SNPs
26	35	1	2	11A	Indels	26-1-11A-Indels
26	366	1	14	11B	Indels	26-1-11B-Indels
26	18189	1	900	11B_ss	Indels	26-1-11B_ss-Indels
26	12	2	0	11A	Indels	26-2-11A-Indels
26	200	2	8	11B	Indels	26-2-11B-Indels
26	6	3	1	11A	Indels	26-3-11A-Indels
26	204	3	10	11B	Indels	26-3-11B-Indels
26	293	1	28	11A	Normal	26-1-11A-Normal
26	594	1	42	11B	Normal	26-1-11B-Normal
26	28609	1	1919	11B_ss	Normal	26-1-11B_ss-Normal
26	266	2	18	11A	Normal	26-2-11A-Normal
26	336	2	23	11B	Normal	26-2-11B-Normal
26	345	3	52	11A	Normal	26-3-11A-Normal
26	340	3	23	11B	Normal	26-3-11B-Normal
26	258	1	26	11A	SNPs	26-1-11A-SNPs
26	228	1	28	11B	SNPs	26-1-11B-SNPs
26	10420	1	1019	11B_ss	SNPs	26-1-11B_ss-SNPs
26	254	2	18	11A	SNPs	26-2-11A-SNPs
26	136	2	15	11B	SNPs	26-2-11B-SNPs
26	339	3	51	11A	SNPs	26-3-11A-SNPs
26	136	3	13	11B	SNPs	26-3-11B-SNPs
27	12	1	0	11A	Indels	27-1-11A-Indels
27	192	1	11	11B	Indels	27-1-11B-Indels
27	8864	1	400	11B_ss	Indels	27-1-11B_ss-Indels
27	10	2	1	11A	Indels	27-2-11A-Indels
27	150	2	7	11B	Indels	27-2-11B-Indels
27	4	3	1	11A	Indels	27-3-11A-Indels
27	126	3	3	11B	Indels	27-3-11B-Indels
27	513	1	43	11A	Normal	27-1-11A-Normal
27	405	1	35	11B	Normal	27-1-11B-Normal
27	13739	1	977	11B_ss	Normal	27-1-11B_ss-Normal
27	465	2	42	11A	Normal	27-2-11A-Normal
27	266	2	24	11B	Normal	27-2-11B-Normal
27	524	3	59	11A	Normal	27-3-11A-Normal
27	218	3	22	11B	Normal	27-3-11B-Normal
27	501	1	43	11A	SNPs	27-1-11A-SNPs
27	213	1	24	11B	SNPs	27-1-11B-SNPs
27	4875	1	577	11B_ss	SNPs	27-1-11B_ss-SNPs
27	455	2	41	11A	SNPs	27-2-11A-SNPs
27	116	2	17	11B	SNPs	27-2-11B-SNPs
27	520	3	58	11A	SNPs	27-3-11A-SNPs
27	92	3	19	11B	SNPs	27-3-11B-SNPs
28	11	1	2	11A	Indels	28-1-11A-Indels
28	87	1	3	11B	Indels	28-1-11B-Indels
28	3736	1	211	11B_ss	Indels	28-1-11B_ss-Indels
28	6	2	0	11A	Indels	28-2-11A-Indels
28	54	2	4	11B	Indels	28-2-11B-Indels
28	6	3	0	11A	Indels	28-3-11A-Indels
28	65	3	5	11B	Indels	28-3-11B-Indels
28	916	1	86	11A	Normal	28-1-11A-Normal
28	310	1	60	11B	Normal	28-1-11B-Normal
28	6559	1	632	11B_ss	Normal	28-1-11B_ss-Normal
28	773	2	84	11A	Normal	28-2-11A-Normal
28	157	2	28	11B	Normal	28-2-11B-Normal
28	737	3	105	11A	Normal	28-3-11A-Normal
28	139	3	21	11B	Normal	28-3-11B-Normal
28	905	1	84	11A	SNPs	28-1-11A-SNPs
28	223	1	57	11B	SNPs	28-1-11B-SNPs
28	2823	1	421	11B_ss	SNPs	28-1-11B_ss-SNPs
28	767	2	84	11A	SNPs	28-2-11A-SNPs
28	103	2	24	11B	SNPs	28-2-11B-SNPs
28	731	3	105	11A	SNPs	28-3-11A-SNPs
28	74	3	16	11B	SNPs	28-3-11B-SNPs
29	8	1	0	11A	Indels	29-1-11A-Indels
29	41	1	3	11B	Indels	29-1-11B-Indels
29	1415	1	75	11B_ss	Indels	29-1-11B_ss-Indels
29	2	2	0	11A	Indels	29-2-11A-Indels
29	37	2	5	11B	Indels	29-2-11B-Indels
29	3	3	0	11A	Indels	29-3-11A-Indels
29	47	3	4	11B	Indels	29-3-11B-Indels
29	1300	1	163	11A	Normal	29-1-11A-Normal
29	272	1	62	11B	Normal	29-1-11B-Normal
29	3444	1	460	11B_ss	Normal	29-1-11B_ss-Normal
29	1162	2	136	11A	Normal	29-2-11A-Normal
29	105	2	24	11B	Normal	29-2-11B-Normal
29	971	3	147	11A	Normal	29-3-11A-Normal
29	121	3	22	11B	Normal	29-3-11B-Normal
29	1292	1	163	11A	SNPs	29-1-11A-SNPs
29	231	1	59	11B	SNPs	29-1-11B-SNPs
29	2029	1	385	11B_ss	SNPs	29-1-11B_ss-SNPs
29	1160	2	136	11A	SNPs	29-2-11A-SNPs
29	68	2	19	11B	SNPs	29-2-11B-SNPs
29	968	3	147	11A	SNPs	29-3-11A-SNPs
29	74	3	18	11B	SNPs	29-3-11B-SNPs
30	9	1	1	11A	Indels	30-1-11A-Indels
30	1049	1	51	I4411	Indels	30-1-I4411-Indels
30	24	1	1	11B	Indels	30-1-11B-Indels
