Sample_ID	pc1	pc2	pc3	pc4	pc5	pc6	pc7	pc8	pc9	pc10
I6113	0.0106	-0.0316								
Madagascar_1361	0.0254	-0.1194	-0.1683	-0.0968	-0.1126	0.1961	-0.012	0.0121	-0.0606	-0.0487
Madagascar_1365	0.0246	-0.1137	-0.1573	-0.0906	-0.1054	0.1884	-0.0338	0.0123	-0.0558	-0.0477
Madagascar_1374	0.0244	-0.1184	-0.1633	-0.0958	-0.1189	0.1939	-0.0541	0.0126	-0.0545	-0.0481
Madagascar_1378	0.0256	-0.1152	-0.1602	-0.0909	-0.1106	0.1936	-0.0306	0.005	-0.0547	-0.0455
Madagascar_1385	0.0262	-0.1144	-0.162	-0.0917	-0.1017	0.1944	-0.0325	0.0092	-0.0396	-0.0456
Madagascar_1763	0.0234	-0.1227	-0.1698	-0.1008	-0.1211	0.2089	-0.0334	0.0117	-0.0449	-0.0515
Madagascar_1766	0.0261	-0.1168	-0.1683	-0.0919	-0.11	0.1878	-0.0307	0.0082	-0.0553	-0.0471
Madagascar_1779	0.0248	-0.1164	-0.1631	-0.0919	-0.112	0.1901	-0.0306	0.0146	-0.0522	-0.045
Madagascar_1783	0.0243	-0.1243	-0.1754	-0.0977	-0.1245	0.2082	-0.0439	0.004	-0.0442	-0.0377
Madagascar_2311	0.0213	-0.1269	-0.1801	-0.1	-0.1279	0.2132	-0.0353	0.0063	-0.0403	-0.0457
Madagascar_2315	0.0228	-0.1219	-0.1681	-0.1027	-0.1176	0.2031	-0.0466	0.0099	-0.0501	-0.0469
Madagascar_2320	0.0254	-0.1143	-0.1637	-0.0886	-0.1079	0.1958	-0.0372	0.0085	-0.0521	-0.0401
Madagascar_2329	0.0246	-0.1169	-0.1619	-0.0925	-0.1089	0.1836	-0.0331	0.0041	-0.0531	-0.0479
Madagascar_2337	0.0256	-0.1132	-0.1557	-0.0954	-0.1056	0.1882	-0.0313	0.0129	-0.0404	-0.0479
Madagascar_2764	0.0257	-0.1153	-0.1583	-0.104	-0.1029	0.1893	-0.0237	0.0184	-0.0555	-0.0428
Madagascar_2767	0.0223	-0.1239	-0.1716	-0.1003	-0.1226	0.2056	-0.0418	0.0113	-0.0564	-0.0499
Madagascar_2769	0.0263	-0.1112	-0.1526	-0.0906	-0.0987	0.1792	-0.0305	0.0175	-0.0554	-0.044
Madagascar_2772	0.0249	-0.1208	-0.1653	-0.1015	-0.1165	0.2086	-0.0215	0.0131	-0.0635	-0.0575
Madagascar_2780	0.0219	-0.1259	-0.1723	-0.1059	-0.1282	0.2076	-0.043	0.0095	-0.0485	-0.0509
ABK-056	0.0088	-0.1868	-0.2643	-0.1438	-0.2081	0.3019	-0.0487	0.0208	-0.0958	-0.073
ABK-065	0.0078	-0.1792	-0.2533	-0.1331	-0.2056	0.2989	-0.0308	0.0138	-0.0795	-0.0668
ABK-068	0.0091	-0.1858	-0.2615	-0.1471	-0.2104	0.3103	-0.0488	0.0053	-0.0747	-0.0709
ABK-070	0.0088	-0.1834	-0.2617	-0.1377	-0.2079	0.3025	-0.0401	0.0117	-0.0864	-0.0762
ABK-073	0.0089	-0.1789	-0.2512	-0.1404	-0.2044	0.2924	-0.0477	0.0153	-0.084	-0.081
ABK-078	0.0086	-0.1802	-0.2531	-0.1469	-0.2041	0.2954	-0.0645	0.0157	-0.0794	-0.0685
AF-EK-048	0.0083	-0.1834	-0.2559	-0.1413	-0.2043	0.2905	-0.0353	0.0202	-0.0829	-0.0714
AFA004	0.0082	-0.1695	-0.2384	-0.1209	-0.1884	0.2705	-0.0428	0.0058	-0.07	-0.0549
AFA005	0.0079	-0.1688	-0.2388	-0.1232	-0.1885	0.2684	-0.0472	0.0052	-0.0716	-0.0629
AFA103	0.0054	-0.1611	-0.232	-0.1199	-0.1763	0.2608	-0.0456	0.0112	-0.0689	-0.0604
AFA114	0.0072	-0.17	-0.2387	-0.1174	-0.1909	0.2787	-0.04	0.0092	-0.0675	-0.0687
AFA118	0.0042	-0.1391	-0.1952	-0.095	-0.1469	0.2078	-0.0375	0.0006	-0.0621	-0.0518
AKP-012	0.0079	-0.182	-0.2511	-0.1562	-0.2064	0.2971	-0.055	0.0153	-0.0704	-0.0681
AKP-013	0.0085	-0.185	-0.2561	-0.1475	-0.2057	0.2979	-0.0582	0.0145	-0.0651	-0.0738
AKP-022	0.0081	-0.1834	-0.2611	-0.1402	-0.2046	0.3029	-0.0495	0.0116	-0.0734	-0.0767
ANNG-011	0.0083	-0.1847	-0.2574	-0.1396	-0.204	0.2952	-0.0512	0.0145	-0.0826	-0.0648
ANNG-034	0.0083	-0.1818	-0.2519	-0.1495	-0.2	0.2807	-0.0576	0.0132	-0.0697	-0.0693
ANNG-042	0.0075	-0.1824	-0.2617	-0.1507	-0.2035	0.3016	-0.0584	0.0218	-0.0835	-0.0744
ANNG-046	0.0082	-0.1848	-0.2603	-0.1383	-0.2056	0.2999	-0.0574	0.0126	-0.0803	-0.0768
ASK003	-0.0079	-0.0321	0.051	-0.0513	0.0044	0.0034	0.005	-0.0592	-0.0337	0.0072
ASK065	-0.0123	-0.0121	-0.008	0.0014	0.01	-0.0094	0.0009	0.0051	-0.0034	0.0027
ASK182	-0.0117	-0.0164	-0.0122	0.0017	0.0089	-0.0142	-0.0012	0.005	-0.0075	0.0126
ASK184	-0.0114	-0.0166	-0.0116	0.0025	0.0045	-0.0125	-0.0027	0.0101	-0.0049	0.0036
ASK186	-0.0122	-0.0162	-0.0153	0.0012	-0.0019	-0.0152	-0.0025	-0.0039	-0.0059	0.0045
ASK232	-0.0126	-0.0156	-0.0088	0.0036	0.0012	-0.0162	-0.0067	0.0069	-0.0055	0.0048
ASK235	-0.0116	-0.0125	-0.0173	-0.0014	-0.0036	-0.0178	-0.0025	0.0021	-0.0037	-0.0006
ASK237	-0.0118	-0.0176	-0.0183	-0.0006	0.0008	-0.0094	-0.0048	0.011	-0.0077	0.006
ASK286	-0.0121	-0.0154	-0.0141	0.003	-0.0027	-0.0058	-0.0023	0.0001	-0.0102	0.0099
ASK287	-0.0115	-0.009	-0.0168	-0.0004	0.0005	-0.009	-0.0002	-0.0002	-0.0068	0.0109
ASK350B	-0.0122	-0.0129	-0.0156	0.0039	0.0036	-0.0185	-0.0015	0.003	0	0.0072
ASK352	-0.0116	-0.017	-0.0164	0.006	-0.0008	-0.0173	-0.0076	0.0041	0.0017	0.0035
ATTA004	0.0084	-0.1834	-0.2584	-0.1415	-0.2068	0.3019	-0.0419	0.0105	-0.074	-0.0782
ATTA007	0.0012	-0.134	-0.1981	-0.1015	-0.1387	0.1979	-0.0525	0.0089	-0.058	-0.043
ATTA008	0.0014	-0.1303	-0.1947	-0.0966	-0.1374	0.1877	-0.0197	0.0177	-0.0542	-0.0411
ATTA018	0.0072	-0.1826	-0.2572	-0.1411	-0.2034	0.2929	-0.0535	0.0186	-0.0824	-0.0745
ATTA019	0.0083	-0.174	-0.2442	-0.132	-0.1966	0.2845	-0.0426	0.0108	-0.0718	-0.0628
ATTA022	0.0085	-0.1783	-0.2562	-0.1349	-0.2061	0.2953	-0.0474	0.0155	-0.075	-0.0642
ATTA029	0.0089	-0.1832	-0.2535	-0.1435	-0.205	0.291	-0.0529	0.0165	-0.0786	-0.0752
BAN-17	0.008	-0.1855	-0.2534	-0.1571	-0.2095	0.3095	-0.0432	0.0137	-0.0605	-0.0817
BAN-24	0.0078	-0.181	-0.2602	-0.1511	-0.2086	0.3003	-0.055	0.0074	-0.0628	-0.0722
BAN-29	0.0087	-0.1804	-0.2486	-0.1558	-0.1996	0.2805	-0.0582	0.0184	-0.0768	-0.0701
BAN-32	0.0078	-0.1857	-0.2542	-0.1538	-0.2076	0.3028	-0.0475	0.0219	-0.0795	-0.0836
BAN-42	0.0085	-0.188	-0.268	-0.1553	-0.2182	0.3119	-0.071	0.0136	-0.0775	-0.0774
BAN-46	0.0082	-0.1794	-0.2535	-0.139	-0.2031	0.2846	-0.0332	0.0155	-0.0916	-0.0698
BAN-47	0.0076	-0.1742	-0.2463	-0.1288	-0.1931	0.2772	-0.0382	0.0111	-0.0873	-0.0622
BAN-49	0.0082	-0.1842	-0.2585	-0.141	-0.2115	0.3008	-0.0572	0.0095	-0.0795	-0.0705
BAN-50	0.008	-0.1874	-0.2546	-0.1618	-0.2127	0.3102	-0.0621	0.0154	-0.061	-0.0813
BAN-51	0.0076	-0.1842	-0.252	-0.1477	-0.2051	0.3029	-0.0534	0.0069	-0.0649	-0.0898
BAN-60	0.0085	-0.1879	-0.2619	-0.1583	-0.2088	0.3081	-0.0504	0.0222	-0.0898	-0.0928
BAN-61	0.0088	-0.1829	-0.2559	-0.1554	-0.2107	0.2976	-0.0507	0.0118	-0.0739	-0.0745
BAN-72	0.0081	-0.1889	-0.2609	-0.1547	-0.2109	0.3049	-0.061	0.019	-0.0859	-0.0886
BAN-95	0.0084	-0.1875	-0.2599	-0.157	-0.2128	0.3066	-0.0685	0.0089	-0.064	-0.0753
BAN-96	0.0083	-0.1863	-0.2565	-0.1534	-0.2045	0.3037	-0.0531	0.0172	-0.0747	-0.0774
BBR2	-0.0091	-0.0512	-0.0819	-0.0238	-0.0325	0.0332	-0.0149	0	-0.028	-0.0025
BBR6	-0.0086	-0.0557	-0.0936	-0.0338	-0.0418	0.0393	-0.0068	0.0026	-0.0302	-0.0023
BBR18	-0.01	-0.0379	-0.068	-0.0263	-0.0235	0.0172	-0.0073	0.0005	-0.0206	0
BBR21	-0.0087	-0.0495	-0.0878	-0.0277	-0.0307	0.0334	-0.0074	0.002	-0.0266	0.004
BBR23	-0.0011	-0.1064	-0.1572	-0.074	-0.1109	0.1463	-0.0309	0.0118	-0.0511	-0.0316
BBR27	-0.0093	-0.0524	-0.0857	-0.0281	-0.0361	0.0294	-0.008	0.005	-0.0276	-0.0023
BBR34	-0.0088	-0.0532	-0.0874	-0.0277	-0.0345	0.0342	-0.0053	0.0014	-0.0208	0.0008
BBR36	0.0014	-0.1364	-0.1965	-0.1044	-0.1421	0.196	-0.0308	0.0188	-0.0596	-0.0406
BBR40	-0.0089	-0.0535	-0.0918	-0.029	-0.0356	0.0303	-0.0032	0.007	-0.0276	-0.0022
BBR42	-0.0078	-0.0654	-0.0918	-0.0333	-0.0517	0.0549	-0.0124	0.003	-0.0275	-0.0142
BBR45	-0.0084	-0.0514	-0.0886	-0.0289	-0.0387	0.0323	-0.0036	0.0008	-0.0379	-0.0032
BBR49	0.0024	-0.1436	-0.1993	-0.1135	-0.1504	0.2083	-0.0315	0.0126	-0.0636	-0.0569
BBR51	-0.0087	-0.0568	-0.0948	-0.0269	-0.041	0.0334	-0.012	0.0071	-0.0255	-0.0036
BBR52	-0.0084	-0.0555	-0.0982	-0.0305	-0.0381	0.0349	-0.0156	-0.0005	-0.027	-0.0021
BBR55	-0.0087	-0.0564	-0.0965	-0.0354	-0.0398	0.0374	-0.0131	0.0004	-0.0342	-0.0007
BBR66	-0.0107	-0.0395	-0.0716	-0.0227	-0.029	0.0252	-0.0061	-0.002	-0.022	0.0021
BBR71	-0.0096	-0.0541	-0.0913	-0.0338	-0.0351	0.0332	-0.0154	0.003	-0.0345	-0.0035
BL3523	-0.0115	-0.0141	-0.0134	-0.0014	0.0004	-0.0045	-0.0057	0.0075	-0.0026	0.0027
BL3524	-0.0136	0.0264	-0.0007	-0.0019	0.0024	0.0034	0.0015	-0.0048	-0.0007	-0.0017
BL3526	-0.0071	-0.0027	-0.031	-0.0165	-0.0159	0.0109	-0.0089	-0.0042	-0.0037	-0.0027
BL7974	-0.0132	0.0219	-0.0065	-0.0009	0.0021	-0.0041	-0.0011	-0.0049	0.0009	-0.0002
BL8179	-0.0125	0.0201	-0.0072	-0.0085	-0.0033	0.0112	-0.0028	-0.0036	0.0016	-0.0034
BL8180	-0.0122	0.0229	-0.0041	-0.0114	-0.0034	0.0003	0.0004	-0.0029	0.0026	-0.0038
BLA-015	0.007	-0.1701	-0.2384	-0.125	-0.1929	0.2788	-0.0554	0.0033	-0.0555	-0.0559
BLA-050	0.0086	-0.171	-0.2413	-0.1253	-0.1897	0.2733	-0.0498	0.0072	-0.068	-0.0581
BLA-112	0.0083	-0.1713	-0.2378	-0.1258	-0.187	0.2725	-0.0475	0.0048	-0.0602	-0.0558
CA-UW-006	0.0085	-0.1802	-0.2543	-0.1387	-0.2072	0.2974	-0.0376	0.0119	-0.076	-0.07
CA-UW-021	0.0084	-0.1834	-0.2572	-0.152	-0.2063	0.298	-0.0708	0.0033	-0.0671	-0.0674
CA-UW-046	0.0085	-0.1848	-0.2582	-0.143	-0.2034	0.3001	-0.0482	0.0144	-0.0812	-0.0675
CA-UW-047	0.0077	-0.1832	-0.2625	-0.1434	-0.2127	0.3053	-0.0626	0.0129	-0.0805	-0.071
CAE-002	0.0084	-0.1832	-0.2597	-0.1438	-0.207	0.3044	-0.0338	0.0089	-0.0779	-0.0736
CAM-GFF-7	0.0082	-0.1801	-0.252	-0.1537	-0.2069	0.2915	-0.0547	0.0143	-0.0806	-0.0758
CAM-GFF-12	0.0071	-0.1834	-0.2569	-0.1376	-0.2042	0.2941	-0.0509	0.0111	-0.0702	-0.0668
CAM-GFF-13	0.0083	-0.1837	-0.2559	-0.1478	-0.2065	0.2945	-0.0463	0.0217	-0.0832	-0.0755
CAM-GFF-94	0.0081	-0.1801	-0.247	-0.1618	-0.2041	0.2868	-0.0495	0.0181	-0.0686	-0.0641
CAM-GFF-105	0.0082	-0.1856	-0.2616	-0.1451	-0.2121	0.3021	-0.0547	0.0089	-0.0735	-0.0699
CAM-GFF-107	0.0084	-0.1812	-0.2486	-0.1512	-0.2025	0.2963	-0.0441	0.0096	-0.0681	-0.0661
CAM-GFF-111	0.0086	-0.181	-0.2562	-0.144	-0.2056	0.3	-0.0552	0.0104	-0.0724	-0.0719
CAM-GFF-117	0.0015	-0.1241	-0.1838	-0.0883	-0.131	0.1859	-0.0388	0.01	-0.0527	-0.043
CAM-GFF-131	0.0089	-0.183	-0.2521	-0.1561	-0.2035	0.289	-0.0439	0.0202	-0.0818	-0.0697
CAM-GFF-175	0.009	-0.1799	-0.2569	-0.1377	-0.2079	0.2956	-0.0511	0.0041	-0.0732	-0.0643
CAM-GFF-195	0.008	-0.1841	-0.2616	-0.1453	-0.2042	0.2947	-0.0545	0.02	-0.0822	-0.0769
CAM-GUI-013	0.0073	-0.173	-0.2456	-0.1345	-0.1945	0.2808	-0.0393	0.0094	-0.0729	-0.0622
CAM-GUI-040	0.0079	-0.1733	-0.2387	-0.1315	-0.1929	0.2772	-0.0458	0.0121	-0.0782	-0.0703
CAM-GUI-047	0.0065	-0.1633	-0.2304	-0.1182	-0.1799	0.2603	-0.0402	0.0073	-0.0741	-0.0652
CAM-GUI-052	0.0072	-0.1751	-0.2492	-0.1428	-0.1974	0.2843	-0.0283	0.0222	-0.0762	-0.0796
CAM-GUI-062	0.0084	-0.1715	-0.2377	-0.1276	-0.1884	0.2684	-0.0225	0.0198	-0.0782	-0.0698
CAM-GUI-065	0.008	-0.1733	-0.2415	-0.1321	-0.1952	0.2738	-0.0295	0.0201	-0.0823	-0.0571
CAM-GUI-083	0.0082	-0.1762	-0.2451	-0.1287	-0.1924	0.2782	-0.025	0.0104	-0.0767	-0.0656
CAM-GUI-099	0.0074	-0.1755	-0.2478	-0.1329	-0.1942	0.279	-0.0331	0.0168	-0.0717	-0.0658
CAM-GUI-102	0.0082	-0.1809	-0.2501	-0.1455	-0.205	0.2872	-0.0378	0.028	-0.0925	-0.0697
CAM-GUI-105	0.0077	-0.1799	-0.2586	-0.1382	-0.2021	0.2908	-0.0414	0.0177	-0.0789	-0.0735
CAM-GUI-108	0.0088	-0.182	-0.2469	-0.1817	-0.2092	0.2894	-0.0447	0.0229	-0.0697	-0.0703
CAM-GUI-111	0.0082	-0.1715	-0.2387	-0.1328	-0.1906	0.2726	-0.0454	0.0137	-0.0731	-0.0587
CAM-GUI-124	0.008	-0.1738	-0.2443	-0.1482	-0.1994	0.2807	-0.0409	0.0143	-0.0576	-0.0633
CAM-GUI-129	0.0083	-0.1793	-0.2461	-0.1546	-0.2034	0.2918	-0.0354	0.0167	-0.0811	-0.0609
CAM-GUI-134	0.0089	-0.1797	-0.2568	-0.1349	-0.2024	0.2915	-0.0232	0.0135	-0.0808	-0.0712
CAM-GUI-138	0.0089	-0.1821	-0.2517	-0.1419	-0.1998	0.2969	-0.0555	0.0099	-0.0769	-0.0714
CAM-GUI-150	0.0079	-0.1827	-0.2549	-0.142	-0.2007	0.2895	-0.0589	0.0118	-0.0735	-0.0738
CAM-GUI-151	0.0083	-0.1815	-0.254	-0.1354	-0.2008	0.2868	-0.0406	0.0169	-0.0825	-0.0665
