Sample_ID	Component	Value	K
AH1.SG	V1	1	1
AH1.SG	V1	1.00E-05	2
AH1.SG	V2	0.99999	2
AH1.SG	V1	0.398657	3
AH1.SG	V2	0.601333	3
AH1.SG	V3	1.00E-05	3
AH1.SG	V1	0.99997	4
AH1.SG	V2	1.00E-05	4
AH1.SG	V3	1.00E-05	4
AH1.SG	V4	1.00E-05	4
AH1.SG	V1	1.00E-05	5
AH1.SG	V2	1.00E-05	5
AH1.SG	V3	1.00E-05	5
AH1.SG	V4	1.00E-05	5
AH1.SG	V5	0.99996	5
AH1.SG	V1	1.00E-05	6
AH1.SG	V2	1.00E-05	6
AH1.SG	V3	1.00E-05	6
AH1.SG	V4	1.00E-05	6
AH1.SG	V5	0.99995	6
AH1.SG	V6	1.00E-05	6
AH1.SG	V1	1.00E-05	7
AH1.SG	V2	1.00E-05	7
AH1.SG	V3	1.00E-05	7
AH1.SG	V4	0.99994	7
AH1.SG	V5	1.00E-05	7
AH1.SG	V6	1.00E-05	7
AH1.SG	V7	1.00E-05	7
AH1.SG	V1	1.00E-05	8
AH1.SG	V2	1.00E-05	8
AH1.SG	V3	0.99993	8
AH1.SG	V4	1.00E-05	8
AH1.SG	V5	1.00E-05	8
AH1.SG	V6	1.00E-05	8
AH1.SG	V7	1.00E-05	8
AH1.SG	V8	1.00E-05	8
AH1.SG	V1	1.00E-05	9
AH1.SG	V2	0.99992	9
AH1.SG	V3	1.00E-05	9
AH1.SG	V4	1.00E-05	9
AH1.SG	V5	1.00E-05	9
AH1.SG	V6	1.00E-05	9
AH1.SG	V7	1.00E-05	9
AH1.SG	V8	1.00E-05	9
AH1.SG	V9	1.00E-05	9
AH2.SG	V1	1	1
AH2.SG	V1	1.00E-05	2
AH2.SG	V2	0.99999	2
AH2.SG	V1	0.429196	3
AH2.SG	V2	0.570794	3
AH2.SG	V3	1.00E-05	3
AH2.SG	V1	0.99997	4
AH2.SG	V2	1.00E-05	4
AH2.SG	V3	1.00E-05	4
AH2.SG	V4	1.00E-05	4
AH2.SG	V1	1.00E-05	5
AH2.SG	V2	1.00E-05	5
AH2.SG	V3	1.00E-05	5
AH2.SG	V4	1.00E-05	5
