Sample_ID	Y haplogroup calls
S11661.Y1.E1.L1	A
S11717.Y1.E1.L1	A
S11340.L1	A
S11051.E1.L1	A
S11044.E1.L1	A
S10854.E1.L2	A
S12029.Y1.E1.L1	A
PS-09.SG	A
S12056.E1.L1	A
S12075.E1.L1_d	A
BOT.1	A
IPY10.SG	A
S3995.E1.L5	A
S11556.E1.L1	A
S12190.E1.L1_d	A
S8487.E1.L2_d	A
S8410.E1.L2_d	A
S11165.Y1.E1.L1_d	A
S6441.E1.L9_d	A
S8418.E1.L2_d	A
S8420.E1.L2_d	A
S12185.E1.L1_d	A
S11997.E1.L1_d	A
S11983.E1.L1_d	A
S11980.E1.L1_d	A
S11968.E1.L1_d	A
S11991.E1.L1_d	A
S11975.E1.L1_d	A
S11992.E1.L1_d	A
S11978.E1.L1_d	A
S11551.E1.L1_d	A
S11974.E1.L1_d	A
S11979.E1.L1_d	A
S11976.E1.L1_d	A
S11552.E1.L1_d	A
S11989.E1.L1_d	A
S10427.E1.L4_d	A
S11990.E1.L1_d	A
S11970.E1.L1_d	A
S10871.E1.L2_d	A
S10427.E1.L5_d	A
S10427.E1.L3_d	A
S11972.E1.L1_d	A
S12377b.Y1.E1.L1	A
S12372.Y1.E1.L1_d	A
S12370.Y1.E1.L1_d	A
S12358.Y1.E1.L1_d	A
S12349.Y1.E1.L1_d	A
S12345.Y1.E1.L1_d	A
S11836.Y1.E1.L1_d	A
S12323.Y1.E1.L1_d	A
S11828.Y1.E1.L1_d	A
S12221.Y1.E1.L1_d	A
S11837.Y1.E1.L1_d	A
S12344.Y1.E1.L1_d	A
S12373.Y1.E1.L1_d	A
S12371.Y1.E1.L1_d	A
S12365.Y1.E1.L1_d	A
S11834.Y1.E1.L1_d	A
S12359.Y1.E1.L1_d	A
S12220.Y1.E1.L1_d	A
S11832.Y1.E1.L1_d	A
S12215.Y1.E1.L1_d	A
S11838.Y1.E1.L1_d	A
S11839.Y1.E1.L1_d	A
S12223.Y1.E1.L1_d	A
S12361.Y1.E1.L1_d	A
S12355.Y1.E1.L1_d	A
S11841.Y1.E1.L1_d	A
S12326.Y1.E1.L1_d	A
S12346.Y1.E1.L1_d	A
S12341.Y1.E1.L1_d	A
S12368.Y1.E1.L1_d	A
S12325.Y1.E1.L1_d	A
S12334.Y1.E1.L1_d	A
S12360.Y1.E1.L1_d	A
S12363.Y1.E1.L1_d	A
S12347.Y1.E1.L1_d	A
S12222.Y1.E1.L1_d	A
S12224.Y1.E1.L1_d	A
S12342.Y1.E1.L1_d	A
S12327.Y1.E1.L1_d	A
S11833.Y1.E1.L1_d	A
S11831.Y1.E1.L1_d	A
S11840.Y1.E1.L1_d	A
S12374.Y1.E1.L1_d	A
S12354.Y1.E1.L1_d	A
S12348.Y1.E1.L1_d	A
S12938.Y1.E1.L1	A
S12950.Y1.E1.L1	A
S12941.Y1.E1.L1_d	A
S13003.Y1.E1.L1_d	A
S12997.Y1.E1.L1_d	A
S13001.Y1.E1.L1_d	A
S12989.Y1.E1.L1_d	A
S12988.Y1.E1.L1_d	A
S12976.Y1.E1.L1_d	A
S12967.Y1.E1.L1_d	A
S12982.Y1.E1.L1_d	A
S12946.Y1.E1.L1_d	A
S12961.Y1.E1.L1_d	A
S12968.Y1.E1.L1_d	A
S12934.Y1.E1.L1_d	A
S12927.Y1.E1.L1_d	A
S12966.Y1.E1.L1_d	A
S12969.Y1.E1.L1_d	A
S12975.Y1.E1.L1_d	A
S13004.Y1.E1.L1_d	A
S13002.Y1.E1.L1_d	A
S12955.Y1.E1.L1_d	A
