Sample_ID	Master ID	Skeletal code	Skeletal element	LibraryID(s)	Data type	14C date(s) that are newly published in this study	Study in which DNA was published	Associated authors if this is a newly reported sample	Average of 95.4% date range in calBP (defined as 1950 CE)  	"Date: One of two formats. (Format 1) 95.4% CI calibrated radiocarbon age (Conventional Radiocarbon Age B, Lab number) e.g. 5983-5747 calBCE (6980±50 B B, Beta-226472). (Format 2) Archaeological context date B, e.g. 2500-1700 BCE"	Period	Analysis label	Culture label	Passed all analysis filters	Location	Country	Deme	Lat.	Long.	Sex	mtDNA best (>2x)	Coverage at autosomal SNPs in the ~1.2 million target set	Number of the ~1.2 million SNPs hit (autosomes only)	Assessment of data quality (notes in parentheses)	X-contamination point estimate from ANGSD if male and ≥200 SNPs	X-contamination Z-score from ANGSD if male and ≥200 SNPs	UDG treatment (minus=untreated; half=treated except in last nucleotides; plus=treated over all nucleotides)	Number of new dates reported in this study	Get date?	Count of entries for samples with newly reported data	Missing archaeological description	Missing skeletal code(s)	Missing latitude / longitude	language	clinal status
I6113	I6113	"RGR 7.3, BR-01, HS-02"	petrous			no 14C date	This study	Vasant Shinde	4300	2800-1900 BCE	BA	Rakhigarhi_BA_Harappan	Rakhigarhi_BA_Harappan	Yes	Rakhigarhi	India	South Asia	29.289223	76.112417	F	U2b2		31760	PASS				0	..	1	..	..	..		..
S_Mbuti-2.DG	HGDP00476	HGDP00476	n/a	S_Mbuti-2	Shotgun.diploid	no 14C date	MallickNature2016	n/a (modern)	0	present	PD	Mbuti.DG	Mbuti.DG	Yes	..	Congo	Africa	1	29	F	..	38.3	1118300	PASS	n/a (modern)	n/a (modern)	n/a	0	..	0	..	..	..		..
A_Mbuti-5.DG	A_Mbuti-5	A_Mbuti-5	n/a	A_Mbuti-5	Shotgun.diploid	no 14C date	MeyerScience2012	n/a (modern)	0	present	PD	Mbuti.DG	Mbuti.DG	Yes	..	Congo	Africa	1	29	M	..	24.34	1149957	PASS	n/a (modern)	n/a (modern)	n/a	0	..	0	..	..	..		..
S_Mbuti-3.DG	HGDP00449	HGDP00449	n/a	S_Mbuti-3	Shotgun.diploid	no 14C date	MallickNature2016	n/a (modern)	0	present	PD	Mbuti.DG	Mbuti.DG	Yes	..	Congo	Africa	1	29	M	..	38.78	1116564	PASS	n/a (modern)	n/a (modern)	n/a	0	..	0	..	..	..		..
S_Mbuti-1.DG	HGDP00474	HGDP00474	n/a	S_Mbuti-1	Shotgun.diploid	no 14C date	MallickNature2016	n/a (modern)	0	present	PD	Mbuti.DG	Mbuti.DG	Yes	..	Congo	Africa	1	29	M	..	41.77	1113571	PASS	n/a (modern)	n/a (modern)	n/a	0	..	0	..	..	..		..
B_Mbuti-4.DG	HGDP00982	HGDP00982	n/a	B_Mbuti-4	Shotgun.diploid	no 14C date	PrueferNature2013	n/a (modern)	0	present	PD	Mbuti.DG	Mbuti.DG	Yes	..	Congo	Africa	1	29	M	..	39.59	1111710	PASS (SGDP version of published data)	n/a (modern)	n/a (modern)	n/a	0	..	0	..	..	..		..
mota.SG	mota	Mota	petrous	..	Shotgun	previously  published 14C date	LlorenteScience2015	n/a (previously reported)	4472	"2575-2469 calBCE (3997±29 BP, OxA-29631)"	M / N	Ethiopia_4500BP.SG	Ethiopia_4500BP.SG	Yes	"Gamo Highlands, Mota Cave"	Ethiopia	Africa	6.797495	38.207852	M	L3x2a	11.289	1181617	PASS (Xcontam=0.0125)	..	..	minus	0	..	0	..	..	..		..
S_Ami-1.DG	NA13607	NA13607	n/a	S_Ami-1	Shotgun.diploid	no 14C date	MallickNature2016	n/a (modern)	0	present	PD	Ami.DG	Ami.DG	Yes	..	Taiwan	East Asia	22.843145	121.185356	M	..	36.74	1119534	PASS	n/a (modern)	n/a (modern)	n/a	0	..	0	..	..	..		..
S_Ami-2.DG	NA13616	NA13616	n/a	S_Ami-2	Shotgun.diploid	no 14C date	MallickNature2016	n/a (modern)	0	present	PD	Ami.DG	Ami.DG	Yes	..	Taiwan	East Asia	22.843145	121.185356	M	..	46.3	1119335	PASS	n/a (modern)	n/a (modern)	n/a	0	..	0	..	..	..		..
S_Atayal-1.DG	NA13604	NA13604	n/a	S_Atayal-1	Shotgun.diploid	no 14C date	MallickNature2016	n/a (modern)	0	present	PD	Atayal.DG	Atayal.DG	Yes	..	Taiwan	East Asia	24.611712	121.296444	M	..	37.18	1119388	PASS	n/a (modern)	n/a (modern)	n/a	0	..	0	..	..	..		..
