Sample_ID	pc1	pc2	pc3	pc4	pc5	pc6	pc7	pc8	pc9	pc10
I6113	0.0341	-0.0506								
Madagascar_1361	-0.1108	-0.1284	-0.1788	0.1016	0.2112	-0.0386	0.0209	0.0023	0.014	-0.0125
Madagascar_1365	-0.0996	-0.1217	-0.1632	0.0946	0.199	-0.0288	0.0256	0.0028	0.0289	0.0004
Madagascar_1374	-0.1096	-0.1278	-0.1775	0.0978	0.2075	-0.0261	0.0329	0.0179	0.0128	-0.0012
Madagascar_1378	-0.1014	-0.1243	-0.1707	0.0955	0.2037	-0.039	0.0415	0.016	0.0149	-0.0144
Madagascar_1385	-0.1021	-0.1234	-0.1709	0.091	0.2016	-0.0255	0.0445	0.0307	0.0231	-0.0033
Madagascar_1763	-0.1124	-0.131	-0.1793	0.1063	0.2183	-0.0195	0.0458	0.0103	0.0136	-0.0132
Madagascar_1766	-0.1095	-0.1264	-0.1733	0.0991	0.2122	-0.0336	0.0389	-0.0062	0.0206	0.0109
Madagascar_1779	-0.107	-0.1256	-0.173	0.1002	0.205	-0.0182	0.0236	0.0251	0.015	-0.0112
Madagascar_1783	-0.1185	-0.1341	-0.1836	0.1053	0.2238	-0.0367	0.0396	0.0114	0.0162	0.0053
Madagascar_2311	-0.1244	-0.1347	-0.1789	0.1092	0.2247	-0.0257	0.0534	-0.0043	0.0177	-0.0031
Madagascar_2315	-0.1122	-0.1304	-0.178	0.1098	0.2202	-0.0458	0.0333	0.008	0.0115	-0.0031
Madagascar_2320	-0.106	-0.1234	-0.1734	0.0919	0.2033	-0.0399	0.0478	0.0082	0.0226	0.0072
Madagascar_2329	-0.104	-0.1255	-0.163	0.0987	0.2046	-0.0243	0.0474	0.0211	0.0108	0
Madagascar_2337	-0.0973	-0.1216	-0.1637	0.0989	0.2009	-0.0498	0.0369	0.0133	0.0197	-0.0086
Madagascar_2764	-0.1005	-0.1244	-0.173	0.1043	0.1972	-0.0339	0.0422	0.0109	0.0181	-0.0058
Madagascar_2767	-0.1164	-0.132	-0.1786	0.1099	0.2228	-0.0341	0.0287	0.0273	0.0042	0.0014
Madagascar_2769	-0.0948	-0.1206	-0.165	0.0963	0.2004	-0.026	0.028	0.0086	0.0134	-0.0033
Madagascar_2772	-0.1054	-0.129	-0.1754	0.1034	0.2155	-0.0549	0.052	0.0163	0.0254	0.0068
Madagascar_2780	-0.1185	-0.1342	-0.1789	0.1081	0.2154	-0.0481	0.0463	0.0014	0.0247	-0.0041
ABK-056	-0.2146	-0.1931	-0.2348	0.1666	0.3118	-0.0589	0.058	0.0113	0.0125	0.0146
ABK-065	-0.2048	-0.1848	-0.2318	0.1514	0.2934	-0.0511	0.0647	0.004	0.0157	-0.0086
ABK-068	-0.2104	-0.1911	-0.2344	0.1709	0.3174	-0.0632	0.0416	0.0073	0.0183	-0.0025
ABK-070	-0.209	-0.1886	-0.2261	0.1664	0.3189	-0.0444	0.0683	0.0049	0.0272	0.0052
ABK-073	-0.2035	-0.185	-0.2286	0.1643	0.3089	-0.0571	0.0495	0.0169	0.0186	0.0099
ABK-078	-0.2042	-0.1861	-0.2261	0.1649	0.2992	-0.0739	0.0535	0.0182	0.0221	-0.0046
AF-EK-048	-0.2056	-0.1887	-0.2238	0.1621	0.3063	-0.0675	0.0558	0.0112	0.016	0.0048
AFA004	-0.1909	-0.1756	-0.2107	0.1395	0.2749	-0.0572	0.0457	0.0162	0.0142	-0.0054
AFA005	-0.1984	-0.1763	-0.2172	0.1467	0.2821	-0.0422	0.0398	-0.0005	0.01	0.0097
AFA103	-0.1861	-0.1655	-0.1935	0.1364	0.259	-0.0542	0.0529	0.0027	0.0165	-0.0063
AFA114	-0.1946	-0.1754	-0.2142	0.1387	0.2769	-0.0524	0.0475	-0.0013	0.012	-0.0042
AFA118	-0.1602	-0.1443	-0.1682	0.1158	0.2278	-0.025	0.0244	0.014	0.0011	0.0098
AKP-012	-0.2027	-0.1871	-0.2289	0.174	0.3003	-0.0587	0.0645	0.0076	0.0203	-0.0083
AKP-013	-0.2063	-0.19	-0.2289	0.1682	0.3074	-0.0521	0.0522	0.0208	0.0095	-0.0147
AKP-022	-0.2084	-0.1884	-0.2251	0.1639	0.3062	-0.0492	0.0585	0.0084	0.0231	-0.0139
ANNG-011	-0.211	-0.1908	-0.2328	0.165	0.3122	-0.0494	0.0505	-0.0003	0.0158	0.0054
ANNG-034	-0.2061	-0.1873	-0.2267	0.1732	0.3027	-0.032	0.0449	0.0135	0.0064	-0.007
ANNG-042	-0.214	-0.1882	-0.234	0.1731	0.3119	-0.0594	0.0335	0.0103	0.0183	0.001
ANNG-046	-0.2074	-0.1892	-0.2276	0.1606	0.3059	-0.0477	0.0453	0.0225	0.0263	-0.0081
ASK003	0.0505	-0.0264	-0.0137	0.0626	-0.0188	-0.0003	-0.0053	-0.0119	-0.0045	0.038
ASK065	-0.0029	-0.0086	0.014	-0.0018	-0.0002	-0.0004	-0.0074	-0.0014	-0.0002	0.0006
ASK182	-0.007	-0.0132	0.0145	-0.0031	-0.0069	-0.0021	0.002	-0.0077	-0.0149	0.0028
ASK184	-0.0062	-0.0133	0.0135	-0.0047	-0.0033	0.0063	-0.0031	0.0058	-0.005	-0.0042
ASK186	-0.009	-0.0125	0.0194	-0.0014	-0.0055	-0.0032	0.0002	-0.0031	-0.0002	-0.0002
ASK232	-0.0043	-0.0123	0.0181	-0.0016	-0.0018	0.0011	-0.0005	-0.0011	-0.006	0.0023
ASK235	-0.011	-0.0095	0.0176	0.0014	-0.0042	-0.0029	-0.0027	-0.0044	0.0023	-0.005
ASK237	-0.0076	-0.0135	0.0198	-0.0003	0.0038	-0.0033	-0.0001	0.0046	0.0017	-0.0076
ASK286	-0.0081	-0.012	0.0116	-0.0038	-0.0009	-0.0007	-0.0008	-0.0062	0.0054	-0.0031
ASK287	-0.0111	-0.0064	0.0136	-0.0001	-0.001	-0.0036	0.0046	0.0029	0.0052	0.0041
ASK350B	-0.0094	-0.0096	0.0206	-0.0029	-0.0011	0.001	-0.003	0.0042	-0.0008	0.0017
ASK352	-0.0093	-0.0138	0.0191	-0.0057	-0.0007	0.0007	0.0021	-0.0003	-0.0037	-0.0014
ATTA004	-0.2086	-0.1894	-0.2304	0.1663	0.3137	-0.0557	0.0439	0.0048	0.0284	-0.0094
ATTA007	-0.1596	-0.1366	-0.1461	0.1152	0.2069	-0.0448	0.034	0.0104	0.0087	-0.0049
ATTA008	-0.1574	-0.1334	-0.14	0.1104	0.2073	-0.0461	0.0437	0.0119	0.0009	0.0032
ATTA018	-0.2092	-0.1879	-0.2279	0.1617	0.307	-0.0517	0.0308	0.0209	0.0185	-0.0095
ATTA019	-0.2004	-0.1804	-0.2212	0.1574	0.3005	-0.0446	0.0485	0.0299	0.0171	0.0197
ATTA022	-0.2064	-0.1842	-0.2252	0.1566	0.3057	-0.0492	0.036	0.0103	0.0226	-0.0159
ATTA029	-0.2054	-0.1897	-0.2334	0.1614	0.2923	-0.0556	0.049	0.0196	0.0195	-0.001
BAN-17	-0.2043	-0.1903	-0.2371	0.1748	0.3079	-0.0559	0.0553	0.0175	0.0266	-0.0148
BAN-24	-0.2125	-0.187	-0.2315	0.1727	0.3158	-0.0561	0.039	0.0118	0.0298	-0.0071
BAN-29	-0.2033	-0.1871	-0.2264	0.1748	0.3029	-0.067	0.0391	0.0088	0.0092	0.0009
BAN-32	-0.2093	-0.1922	-0.2417	0.1756	0.3157	-0.0332	0.0646	0.0086	0.0134	-0.0024
BAN-42	-0.218	-0.1937	-0.2402	0.1729	0.3136	-0.0583	0.0544	0.0312	0.0352	0.0037
BAN-46	-0.2021	-0.1843	-0.2163	0.1651	0.3055	-0.0551	0.0592	0.004	0.0081	-0.0046
BAN-47	-0.1976	-0.1791	-0.2104	0.1479	0.2881	-0.0539	0.0532	0.0049	0.0143	-0.0023
BAN-49	-0.2092	-0.1889	-0.2312	0.1666	0.3065	-0.0596	0.0675	-0.0007	0.0184	0.0077
BAN-50	-0.2059	-0.192	-0.2365	0.1794	0.3149	-0.0606	0.0685	0.0235	0.0207	0.0014
BAN-51	-0.2046	-0.1893	-0.233	0.1726	0.3149	-0.0483	0.03	0.0106	0.0168	-0.0036
BAN-60	-0.2088	-0.1922	-0.2345	0.1764	0.3011	-0.0617	0.0753	0.0198	0.0181	-0.0002
BAN-61	-0.2057	-0.1889	-0.2304	0.1754	0.3142	-0.0672	0.049	0.0043	0.0244	-0.0068
BAN-72	-0.2105	-0.1937	-0.2308	0.1791	0.3262	-0.042	0.0652	0.0293	0.0158	0.0062
BAN-95	-0.2103	-0.1924	-0.2332	0.1751	0.3063	-0.0569	0.0632	0.0326	0.0165	-0.0192
BAN-96	-0.2106	-0.1931	-0.238	0.1723	0.3091	-0.0554	0.0488	0.0158	0.0254	-0.0103
BBR2	-0.069	-0.0514	-0.0197	0.0269	0.0445	-0.0066	0.0125	0.0086	-0.0035	0.0027
BBR6	-0.0754	-0.0554	-0.0205	0.0363	0.0532	-0.004	0.0141	0.0084	0.0107	-0.0061
BBR18	-0.0566	-0.0374	-0.0075	0.0287	0.0321	-0.0096	0.0025	-0.0034	0.008	0.0041
BBR21	-0.0704	-0.0496	-0.0141	0.0337	0.0565	-0.0051	0.0117	-0.0021	0.007	0.0041
BBR23	-0.1295	-0.1101	-0.117	0.0841	0.1597	-0.0261	0.0314	0.0165	0.0103	0.0027
BBR27	-0.0712	-0.0525	-0.0176	0.0322	0.0519	-0.007	0.01	-0.0009	0.0045	-0.0008
BBR34	-0.0732	-0.0531	-0.0202	0.0312	0.0486	-0.0104	0.005	-0.0069	0.0083	0.002
BBR36	-0.1604	-0.1395	-0.1471	0.1216	0.2177	-0.0405	0.0349	0.0245	0.0206	0.007
BBR40	-0.0756	-0.0534	-0.0163	0.0316	0.0496	-0.0118	0.0154	-0.0015	0.0034	-0.0007
BBR42	-0.0791	-0.0665	-0.0445	0.0345	0.0585	-0.0072	0.0176	-0.0037	0.0057	0.0018
BBR45	-0.0745	-0.0522	-0.0225	0.0329	0.0483	0.0006	0.0073	0.0033	0.0093	0.0013
BBR49	-0.1608	-0.147	-0.1599	0.1292	0.2275	-0.0239	0.0457	0.011	0.0036	-0.0085
BBR51	-0.077	-0.0567	-0.0172	0.0317	0.059	-0.0138	0.0134	0.0126	0.006	0.009
BBR52	-0.0809	-0.0561	-0.0197	0.0328	0.0501	-0.0081	0.0122	0.0097	0.0057	0.0007
BBR55	-0.0814	-0.057	-0.0234	0.0362	0.0464	-0.0133	0.0214	-0.001	0.0027	0.0081
BBR66	-0.0602	-0.0391	-0.0126	0.0264	0.0396	-0.003	0.0148	0.0024	0.0017	0.0051
BBR71	-0.0742	-0.0533	-0.0149	0.0375	0.0514	-0.0071	0.0099	0.0092	0.0055	0.002
BL3523	-0.0068	-0.0107	0.0119	0.001	0.0035	0.0017	0.0006	0	0.0027	-0.0049
BL3524	-0.0053	0.0269	-0.0031	0.0016	-0.0022	0.0018	-0.0021	0.0009	0.0004	0.0021
BL3526	-0.0221	-0.0026	-0.0097	0.0152	0.0163	-0.0135	0.0045	-0.0003	0.0046	0.0017
BL7974	-0.0092	0.0226	0.0049	0.0019	-0.0018	-0.0003	-0.0022	-0.0019	-0.002	0.004
BL8179	-0.0092	0.0206	-0.0082	0.0073	0.0048	-0.0006	0.0012	0.0005	0.0028	-0.0023
BL8180	-0.0063	0.0235	-0.001	0.0116	-0.0003	-0.0003	0.0038	0.0006	0.001	-0.001
BLA-015	-0.1935	-0.1749	-0.2141	0.1461	0.2793	-0.0384	0.0467	0.022	0.0128	0.0036
BLA-050	-0.1927	-0.1767	-0.2093	0.1477	0.279	-0.0561	0.054	0.0131	0.016	-0.0021
BLA-112	-0.1918	-0.1766	-0.2113	0.1457	0.2817	-0.0404	0.0485	0.0154	0.0125	-0.0063
CA-UW-006	-0.2062	-0.1865	-0.2276	0.1645	0.3093	-0.0529	0.0497	0.0095	0.0189	-0.0033
CA-UW-021	-0.2109	-0.1903	-0.2344	0.1731	0.307	-0.0497	0.0723	0.0168	0.0054	0.0083
CA-UW-046	-0.2094	-0.1912	-0.2332	0.1662	0.3078	-0.0463	0.0456	0.0039	0.01	-0.0188
CA-UW-047	-0.2108	-0.1881	-0.228	0.1683	0.3137	-0.0597	0.0473	0.0099	0.0118	-0.0086
CAE-002	-0.2088	-0.1887	-0.2285	0.1747	0.3244	-0.0444	0.0472	-0.0034	0.0258	0.0039
CAM-GFF-7	-0.2073	-0.1868	-0.2334	0.1703	0.2961	-0.0594	0.0464	0.0069	0.0119	-0.0189
CAM-GFF-12	-0.2059	-0.1875	-0.2198	0.1625	0.3108	-0.051	0.0627	0.0058	0.0184	-0.0036
CAM-GFF-13	-0.2075	-0.1892	-0.2315	0.1657	0.293	-0.0556	0.0495	0.0118	0.0285	-0.0092
CAM-GFF-94	-0.2004	-0.1849	-0.2247	0.1806	0.2988	-0.0443	0.0596	0.0066	0.0196	-0.0126
CAM-GFF-105	-0.21	-0.191	-0.2282	0.1697	0.3131	-0.0497	0.0634	0.0159	0.0267	-0.0005
CAM-GFF-107	-0.2013	-0.1867	-0.231	0.1716	0.3023	-0.0529	0.0403	0.0068	0.0335	-0.0009
CAM-GFF-111	-0.2085	-0.1879	-0.2341	0.166	0.3108	-0.0581	0.0596	-0.0017	-0.0012	-0.006
CAM-GFF-117	-0.1491	-0.1278	-0.1385	0.0997	0.1852	-0.0391	0.0462	0.0157	0.0108	-0.0054
CAM-GFF-131	-0.2024	-0.1886	-0.2228	0.1737	0.2971	-0.0719	0.0603	0.0148	0.022	-0.0113
CAM-GFF-175	-0.2046	-0.1861	-0.2253	0.16	0.3068	-0.0457	0.0591	0.016	0.0302	-0.0061
CAM-GFF-195	-0.211	-0.189	-0.2276	0.1633	0.3013	-0.0435	0.0437	0.0186	0.0122	-0.0177
CAM-GUI-013	-0.2008	-0.179	-0.2203	0.1627	0.3083	-0.0418	0.0405	0.0132	0.0081	0.0108
CAM-GUI-040	-0.194	-0.1792	-0.2182	0.1515	0.2816	-0.0355	0.0715	0.0139	0.0148	-0.0058
CAM-GUI-047	-0.186	-0.1682	-0.1994	0.1383	0.2655	-0.0465	0.0466	0.0149	0.018	0.0036
CAM-GUI-052	-0.2038	-0.1808	-0.2226	0.1649	0.298	-0.0477	0.0443	0.0179	0.0135	0.0032
CAM-GUI-062	-0.1909	-0.1769	-0.2118	0.1409	0.2678	-0.0452	0.0549	0.0224	0.0218	0.0045
CAM-GUI-065	-0.1972	-0.1794	-0.2186	0.1473	0.2756	-0.0429	0.0593	0.0058	0.0199	-0.0023
CAM-GUI-083	-0.1961	-0.1811	-0.2129	0.147	0.282	-0.0512	0.0585	-0.0002	0.0216	-0.0014
CAM-GUI-099	-0.204	-0.1816	-0.2186	0.1517	0.2866	-0.0355	0.0543	0.0239	0.019	0.0017
CAM-GUI-102	-0.2014	-0.1859	-0.2248	0.1669	0.2999	-0.0426	0.0409	0.0166	0.0235	-0.0174
CAM-GUI-105	-0.2065	-0.1842	-0.216	0.1601	0.3047	-0.0424	0.0556	0.0134	0.0292	0.0018
CAM-GUI-108	-0.2014	-0.1875	-0.2339	0.1941	0.2954	-0.0487	0.0574	0.0361	0.0114	-0.0196
CAM-GUI-111	-0.195	-0.1775	-0.2183	0.1532	0.2849	-0.0513	0.0322	0.0054	0.0158	0.0003
CAM-GUI-124	-0.1968	-0.1791	-0.2151	0.1633	0.2879	-0.0521	0.0494	0.0072	0.0194	-0.0229
CAM-GUI-129	-0.1981	-0.1845	-0.2267	0.175	0.2987	-0.0525	0.0573	0.0297	0.0155	-0.0128
CAM-GUI-134	-0.2048	-0.1853	-0.2232	0.1585	0.3035	-0.0484	0.0426	0.0002	0.0212	-0.0067
CAM-GUI-138	-0.2048	-0.1888	-0.2298	0.1692	0.3215	-0.0358	0.0423	0.0108	0.0153	0.0007
CAM-GUI-150	-0.2086	-0.189	-0.2284	0.1707	0.3145	-0.0654	0.0365	0.0078	-0.0044	-0.0039
CAM-GUI-151	-0.2032	-0.1861	-0.2198	0.1545	0.293	-0.0437	0.0461	0.0154	0.0328	-0.0101
CAM-GUI-157	-0.2061	-0.1882	-0.2238	0.1655	0.3045	-0.0335	0.044	0.0212	0.0213	-0.0124
CAM-GUI-160	-0.2033	-0.1867	-0.2274	0.1536	0.3017	-0.0463	0.069	0.0316	0.0184	0.0076
CAM-GUI-164	-0.204	-0.1861	-0.2249	0.1647	0.3056	-0.0405	0.0401	0.021	0.0178	-0.0067
CAM-GUI-171	-0.2106	-0.1895	-0.2272	0.1597	0.3	-0.0562	0.0678	0.0239	0.0106	0.0215
CAM-GUI-173	-0.2159	-0.1912	-0.2375	0.1771	0.3186	-0.0407	0.0524	0.0111	0.0335	0.0092
CAM-GUI-176	-0.2037	-0.1859	-0.2216	0.1558	0.2882	-0.0454	0.0607	0.0148	0.0163	0.0015
CAM-MBO-026	-0.2081	-0.1892	-0.2319	0.1612	0.3059	-0.0538	0.0608	0.0247	0.0183	-0.0009
CAM-MBO-041	-0.2092	-0.1875	-0.2304	0.1669	0.3105	-0.0529	0.0548	-0.0003	0.0073	-0.0033
CAM-MBO-043	-0.2052	-0.1873	-0.2252	0.1574	0.3034	-0.0418	0.057	0.0078	0.0136	-0.0029
CAM-MBO-063	-0.2079	-0.189	-0.2274	0.1664	0.314	-0.0624	0.0578	0.0163	0.0188	-0.0011
CAM-MBO-084	-0.2093	-0.1901	-0.234	0.1564	0.3048	-0.0451	0.0646	0.0054	0.0087	-0.0065
CAM-MBO-090	-0.208	-0.1871	-0.2313	0.1658	0.3082	-0.0627	0.0325	0.0097	0.013	0.0027
CAM-MBO-114	-0.2027	-0.1862	-0.2237	0.1693	0.3041	-0.0448	0.0467	0.021	0.0112	-0.0091
CAM-MBO-116	-0.213	-0.1919	-0.2314	0.1649	0.3148	-0.0517	0.0491	0.008	0.0214	0.0119
CAM-MBO-121	-0.2078	-0.1871	-0.2307	0.1688	0.3175	-0.0236	0.0441	0.0243	0.0232	0.0124
CAM-MBO-133	-0.2051	-0.1873	-0.225	0.1688	0.3099	-0.0517	0.069	0.0053	0.0296	0.0115
CAM-MBO-135	-0.2048	-0.189	-0.2288	0.1683	0.3058	-0.051	0.0461	0.0105	0.0358	0.0095
CAM-MBO-137	-0.2104	-0.1878	-0.2346	0.1686	0.3196	-0.0255	0.0351	0.0147	0.0122	0.0002
CAM-MBO-149	-0.2146	-0.1902	-0.2318	0.1667	0.3195	-0.0576	0.0559	-0.004	0.0238	0.0182
CAM-MBO-170	-0.2085	-0.1866	-0.2271	0.1639	0.3002	-0.0513	0.0574	0.0023	0.0232	-0.0022
CAM-POL-014	-0.1993	-0.1804	-0.2153	0.1608	0.2889	-0.029	0.05	0.0042	0.0246	-0.0062
CAM-POL-015	-0.2065	-0.1872	-0.2344	0.1633	0.3075	-0.0421	0.0635	0.0165	0.0075	-0.0043
CAM-POL-036	-0.2123	-0.1883	-0.2316	0.1642	0.3084	-0.0531	0.0482	0.017	0.0256	0
CAM-POL-059	-0.1922	-0.179	-0.2142	0.1535	0.2877	-0.0422	0.0585	0.0132	0.0219	-0.0116
CAM-POL-060	-0.192	-0.1733	-0.2092	0.1444	0.2729	-0.0478	0.0427	0.0098	0.0271	0.0097
CAM-POL-078	-0.2062	-0.189	-0.2255	0.1828	0.2993	-0.0497	0.0512	0.0154	0.0158	-0.0209
CAM-POL-081	-0.206	-0.1877	-0.2252	0.1599	0.2969	-0.0512	0.0584	0.0152	0.0305	0.0042
CAM-POL-106	-0.1934	-0.1814	-0.2175	0.1654	0.3007	-0.0491	0.0405	0.0144	0.0255	0.0078
CAM-POL-111	-0.1966	-0.1793	-0.2191	0.1481	0.2874	-0.0455	0.0597	0.0082	0.0195	0.0103
CAM-POL-146	-0.2073	-0.1875	-0.2199	0.1619	0.3129	-0.0374	0.0548	0.0102	0.0268	-0.0061
CAM-POL-164	-0.191	-0.1786	-0.2161	0.1505	0.284	-0.0488	0.067	-0.0027	0.0145	0.0006
CAM-POL-185	-0.1997	-0.1787	-0.2162	0.1467	0.2973	-0.0534	0.0544	0.0172	0.0121	0.0036
CAM-PYKL-001	-0.2063	-0.1885	-0.2261	0.1733	0.308	-0.0385	0.0531	0.0111	0.0363	-0.0115
CAM-PYKL-004	-0.2048	-0.1885	-0.2304	0.1655	0.3069	-0.0368	0.0468	0.0061	0.025	-0.0081
CAM-PYKL-005	-0.2058	-0.1907	-0.2315	0.166	0.308	-0.027	0.055	0.0118	0.0194	-0.0043
