Accession ID	PC1	PC2
NC_001643.1	0.1872776	0.03359538
MT795654.1	-0.1849927	0.17326991
MK388903.1	-0.1833531	0.19689558
MK123269.1	-0.1842883	0.18287487
MG025540.1	-0.1821195	0.21102999
MG025539.1	-0.1822821	0.20942756
MG025538.1	-0.1821557	0.21067603
MG025537.1	-0.1826181	0.20581901
MG025536.1	-0.1832048	0.19788951
KX198088.1	-0.1824626	0.20739247
KX198087.1	-0.1827632	0.20457845
KX198085.1	-0.1821195	0.21102999
KF982693.1	-0.1835467	0.19431395
MK033602.1	-0.1844536	0.18072913
KX663333.1	-0.1640236	0.03265887
KT780370.1	-0.1639708	0.03074531
KM101737.1	-0.1839606	-0.18974019
KM101738.1	-0.1838467	-0.19109312
KM101735.1	-0.1853275	-0.16727405
KM101734.1	-0.1846727	-0.18018123
KM101732.1	-0.1848707	-0.17638009
J01415.2	-0.1837968	-0.19192268
MF317872.1	-0.1838194	-0.19111771
KT946594.1	-0.1842033	-0.18598996
KT946593.1	-0.1838938	-0.19063657
KT946592.1	-0.183826	-0.19136309
AY195790.2	-0.1847281	-0.17778841
AY195772.2	-0.1846713	-0.17899425
AY195770.2	-0.1840068	-0.18911128
AY195771.1	-0.1838614	-0.19002242
